"pm25","fips","region"
9.77118522614686,"01003","east"
9.99381725284814,"01027","east"
10.6886181012839,"01033","east"
11.3374236874237,"01049","east"
12.1197644686119,"01055","east"
10.8278048723489,"01069","east"
11.5839280137523,"01073","east"
11.2619958748527,"01089","east"
9.41442269955754,"01097","east"
11.3914937063423,"01103","east"
12.3847949521764,"01113","east"
10.6495003064202,"01117","east"
11.3338213580728,"01121","east"
12.3024361179754,"01125","east"
11.0245082815735,"01127","east"
6.05886019051495,"02020","west"
11.1014667422525,"02090","west"
7.30811257305026,"02110","west"
7.14762626262626,"02170","west"
6.92984404484405,"04003","west"
6.132350718065,"04005","west"
8.22833917280753,"04013","west"
5.3284750021471,"04019","west"
10.5028619597453,"04021","west"
11.3264992137362,"04023","west"
5.16541323932628,"04025","west"
10.8355150496786,"05001","east"
10.4362348272642,"05003","east"
11.1147433188335,"05035","east"
10.8231569069069,"05045","east"
10.7455228065043,"05051","east"
10.4503506375228,"05067","east"
10.7239588859416,"05107","east"
10.4417366946779,"05113","east"
11.0976451597588,"05115","east"
11.8400858533296,"05119","east"
11.1050030345373,"05131","east"
10.8870238095238,"05139","east"
10.6965244667289,"05143","east"
10.641452991453,"05145","east"
9.46590188607592,"06001","west"
9.84229717813051,"06007","west"
6.76874278843292,"06009","west"
6.94475890985325,"06011","west"
8.54517291213449,"06013","west"
16.1945239442507,"06019","west"
7.19696623951355,"06023","west"
9.41794677963536,"06025","west"
6.43133065191889,"06027","west"
15.803779721076,"06029","west"
18.4407314017251,"06031","west"
3.49435096561789,"06033","west"
16.6618011295383,"06037","west"
8.15131805731041,"06045","west"
15.0157326718079,"06047","west"
6.45565456155149,"06053","west"
5.28099869664386,"06057","west"
14.5062723406882,"06059","west"
7.96918321142459,"06061","west"
9.67839312107419,"06063","west"
17.4290486592135,"06065","west"
9.67934206826549,"06067","west"
5.99577421686427,"06069","west"
9.84362711860765,"06073","west"
10.7410869231163,"06075","west"
11.5600218772021,"06077","west"
7.30846636864851,"06079","west"
8.99963596301318,"06081","west"
8.41596420305724,"06083","west"
9.84144647290684,"06085","west"
6.19679173840357,"06087","west"
5.5605463980464,"06089","west"
5.70241404638811,"06093","west"
10.0994598549599,"06095","west"
6.9254031864888,"06097","west"
16.2519038272246,"06099","west"
7.30965689062766,"06101","west"
16.1835830784913,"06107","west"
9.61713614709045,"06111","west"
7.7050032488629,"06113","west"
8.46951893407169,"08001","west"
6.65466368191024,"08005","west"
6.77176468914163,"08013","west"
7.73387698622957,"08031","west"
5.73200461553332,"08035","west"
4.18609021246952,"08039","west"
5.97189954174968,"08041","west"
6.61487829803047,"08069","west"
9.32877602411928,"08077","west"
6.27593990755008,"08083","west"
7.68074488100719,"08123","west"
9.82177829367954,"09001","east"
8.89481883497206,"09003","east"
7.02987073611182,"09005","east"
10.001609188939,"09009","east"
8.82187485318614,"09011","east"
10.4129542695584,"10001","east"
11.5517555159747,"10003","east"
10.8377180079334,"10005","east"
11.0238225610986,"11001","east"
7.50346095206785,"12001","east"
6.87720081743389,"12009","east"
6.9775362209526,"12011","east"
7.37522901571828,"12017","east"
8.3783776391644,"12031","east"
8.96184160987206,"12033","east"
8.3415452544009,"12057","east"
6.74496639545312,"12071","east"
9.79596697012138,"12073","east"
NA,"12086","east"
7.28553506718511,"12095","east"
6.34854026253636,"12099","east"
7.73819636495411,"12103","east"
7.67951903770358,"12105","east"
7.58490910924539,"12111","east"
6.8008151008151,"12115","east"
7.50035481331534,"12117","east"
7.21377345515277,"12127","east"
11.9592084944023,"13021","east"
10.8244700530908,"13051","east"
11.2922785144695,"13059","east"
12.9139027854494,"13063","east"
12.018415914295,"13067","east"
12.1454136960407,"13089","east"
11.746439215797,"13095","east"
11.8178209192191,"13121","east"
9.79381248890527,"13127","east"
12.1452780063074,"13135","east"
11.1883344861037,"13139","east"
11.4223252694182,"13153","east"
9.70988046483951,"13185","east"
12.2006601852966,"13215","east"
10.9490592810391,"13223","east"
12.392874647024,"13245","east"
10.6727069308928,"13295","east"
11.3584635917969,"13303","east"
12.1213807083732,"13319","east"
6.82441875383051,"15001","west"
5.78351927988093,"15003","west"
5.6939448645207,"15009","west"
10.3294045074514,"16001","west"
4.91714043782155,"16005","west"
10.7924482408342,"16009","west"
8.8466406534255,"16027","west"
10.3763269924492,"16041","west"
12.4378980220572,"16059","west"
13.3469102904998,"16079","west"
9.35373976746836,"17001","east"
11.059005118607,"17019","east"
11.8780076805531,"17031","east"
10.9013088512241,"17043","east"
11.2698378522063,"17065","east"
10.336829004329,"17083","east"
10.5814567968035,"17089","east"
9.2564950627936,"17097","east"
10.2752187901461,"17099","east"
10.003862064924,"17111","east"
10.4695875139353,"17113","east"
11.6319264428935,"17115","east"
12.702122831133,"17119","east"
11.1160700016684,"17143","east"
10.1047342756054,"17157","east"
9.65526315789474,"17161","east"
12.3310604774049,"17163","east"
11.0390648425787,"17167","east"
